Sample	Engine	FDR	Accepted
MKK18	COMBINED	0.172	3471
MKK18	COMBINED	0.173	3475
MKK18	COMBINED	0.174	3486
MKK18	COMBINED	0.175	3486
MKK18	COMBINED	0.176	3486
MKK18	COMBINED	0.177	3509
MKK18	COMBINED	0.178	3509
MKK18	COMBINED	0.179	3509
MKK18	COMBINED	0.18	3509
MKK18	COMBINED	0.181	3509
MKK18	COMBINED	0.182	3560
MKK18	COMBINED	0.183	3560
MKK18	COMBINED	0.184	3560
MKK18	COMBINED	0.185	3562
MKK18	COMBINED	0.186	3574
MKK18	COMBINED	0.187	3578
MKK18	COMBINED	0.188	3635
MKK18	COMBINED	0.189	3639
MKK18	COMBINED	0.19	3639
MKK18	COMBINED	0.191	3658
MKK18	COMBINED	0.192	3658
MKK18	COMBINED	0.193	3658
MKK18	COMBINED	0.194	3662
MKK18	COMBINED	0.195	3662
MKK18	COMBINED	0.196	3662
MKK18	COMBINED	0.197	3662
MKK18	COMBINED	0.198	3662
MKK18	COMBINED	0.199	3662
MKK18	COMBINED	0.2	3906
MKK18	COMBINED	0.201	3906
MKK18	COMBINED	0.202	3906
MKK18	COMBINED	0.203	3906
MKK18	COMBINED	0.204	3906
MKK18	COMBINED	0.205	3906
MKK18	COMBINED	0.206	3907
MKK18	COMBINED	0.207	3915
MKK18	COMBINED	0.208	3915
MKK18	COMBINED	0.209	3921
MKK18	COMBINED	0.21	3926
MKK18	COMBINED	0.211	3935
MKK18	COMBINED	0.212	3935
MKK18	COMBINED	0.213	3937
MKK18	COMBINED	0.214	3937
MKK18	COMBINED	0.215	4000
MKK18	COMBINED	0.216	4000
MKK18	COMBINED	0.217	4002
MKK18	COMBINED	0.218	4016
MKK18	COMBINED	0.219	4016
MKK18	COMBINED	0.22	4016
MKK18	COMBINED	0.221	4016
MKK18	COMBINED	0.222	4016
MKK18	COMBINED	0.223	4126
MKK18	COMBINED	0.224	4126
MKK18	COMBINED	0.225	4130
MKK18	COMBINED	0.226	4130
MKK18	COMBINED	0.227	4130
MKK18	COMBINED	0.228	4134
MKK18	COMBINED	0.229	4134
MKK18	COMBINED	0.23	4134
MKK18	COMBINED	0.231	4167
MKK18	COMBINED	0.232	4167
MKK18	COMBINED	0.233	4167
MKK18	COMBINED	0.234	4167
MKK18	COMBINED	0.235	4167
MKK18	COMBINED	0.236	4184
MKK18	COMBINED	0.237	4191
MKK18	COMBINED	0.238	4191
MKK18	COMBINED	0.239	4194
MKK18	COMBINED	0.24	4208
MKK18	COMBINED	0.241	4209
MKK18	COMBINED	0.242	4209
MKK18	COMBINED	0.243	4209
MKK18	COMBINED	0.244	4210
MKK18	COMBINED	0.245	4210
MKK18	COMBINED	0.246	4210
MKK18	COMBINED	0.247	4224
MKK18	COMBINED	0.248	4224
MKK18	COMBINED	0.249	4224
MKK18	COMBINED	0.25	4696
MKK18	COMBINED	0.251	4696
MKK18	COMBINED	0.252	4696
MKK18	COMBINED	0.253	4696
MKK18	COMBINED	0.254	4696
MKK18	COMBINED	0.255	4696
MKK18	COMBINED	0.256	4703
MKK18	COMBINED	0.257	4703
MKK18	COMBINED	0.258	4703
MKK18	COMBINED	0.259	4707
MKK18	COMBINED	0.26	4707
MKK18	COMBINED	0.261	4725
MKK18	COMBINED	0.262	4725
MKK18	COMBINED	0.263	4725
MKK18	COMBINED	0.264	4747
MKK18	COMBINED	0.265	4748
MKK18	COMBINED	0.266	4748
MKK18	COMBINED	0.267	4786
MKK18	COMBINED	0.268	4786
